Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Kuleschovka,12370,Valid,L6,,1811-01-01T00:00:00.000,50.75,33.5,"[50, 33]"
Kulp,12373,Valid,H6,,1906-01-01T00:00:00.000,41.11667,45.0,"[41, 45]"
Kunashak,12377,Valid,L6,,1949-01-01T00:00:00.000,55.78333,61.36667,"[55, 61]"
Kunya-Urgench,12379,Valid,H5,,1998-01-01T00:00:00.000,42.25,59.2,"[42, 59]"
Kushiike,12381,Valid,OC,,1920-01-01T00:00:00.000,37.05,138.38333,"[37, 138]"
Kusiali,12382,Valid,L6,,1860-01-01T00:00:00.000,29.68333,78.38333,"[29, 78]"
Kutais,12383,Valid,H5,,1977-01-01T00:00:00.000,44.51667,39.3,"[44, 39]"
Kuttippuram,12384,Valid,L6,,1914-01-01T00:00:00.000,10.83333,76.03333,"[10, 76]"
Kuznetzovo,12385,Valid,L6,,1932-01-01T00:00:00.000,55.2,75.33333,"[55, 75]"
Kyushu,12390,Valid,L6,,1886-01-01T00:00:00.000,32.03333,130.63333,"[32, 130]"
La Bécasse,12392,Valid,L6,,1879-01-01T00:00:00.000,47.08333,1.75,"[47, 1]"
La Charca,12394,Valid,OC,,1878-01-01T00:00:00.000,20.66667,-101.28333,"[20, -101]"
La Colina,12395,Valid,H5,,1924-01-01T00:00:00.000,-37.33333,-61.53333,"[-37, -61]"
La Criolla,12396,Valid,L6,,1985-01-01T00:00:00.000,-31.23333,-58.16667,"[-31, -58]"
Laborel,12408,Valid,H5,,1871-01-01T00:00:00.000,44.28333,5.58333,"[44, 5]"
Lahrauli,12433,Valid,Ureilite,,1955-01-01T00:00:00.000,26.78333,82.71667,"[26, 82]"
L'Aigle,12434,Valid,L6,,1803-01-01T00:00:00.000,48.76667,0.63333,"[48, 0]"
Cumulus Hills 04075,32531,Valid,Pallasite,,2003-01-01T00:00:00.000,,,"[None, None]"
Lakangaon,12435,Valid,Eucrite-mmict,,1910-01-01T00:00:00.000,21.86667,76.03333,"[21, 76]"
Lalitpur,12451,Valid,L6,,1887-01-01T00:00:00.000,24.45,78.56667,"[24, 78]"
Lancé,12455,Valid,CO3.5,,1872-01-01T00:00:00.000,47.7,1.06667,"[47, 1]"
Lancon,12456,Valid,H6,,1897-01-01T00:00:00.000,43.75,5.11667,"[43, 5]"
Långhalsen,12461,Valid,L6,,1947-01-01T00:00:00.000,58.85,16.73333,"[58, 16]"
Lanxi,12464,Valid,L6,,1986-01-01T00:00:00.000,46.24167,126.19611,"[46, 126]"
Lanzenkirchen,12465,Valid,L4,,1925-01-01T00:00:00.000,47.75,16.23333,"[47, 16]"
Laochenzhen,12466,Valid,H5,,1987-01-01T00:00:00.000,33.13333,115.16667,"[33, 115]"
Launton,12740,Valid,L6,,1830-01-01T00:00:00.000,51.9,-1.11667,"[51, -1]"
Lavrentievka,12743,Valid,L6,,1938-01-01T00:00:00.000,52.45,51.56667,"[52, 51]"
Le Pressoir,12748,Valid,H5,,1845-01-01T00:00:00.000,47.16667,0.43333,"[47, 0]"
Le Teilleul,12749,Valid,Howardite,,1845-01-01T00:00:00.000,48.53333,-0.86667,"[48, 0]"
Leedey,12755,Valid,L6,,1943-01-01T00:00:00.000,35.88333,-99.33333,"[35, -99]"
Leeuwfontein,12756,Valid,L6,,1912-01-01T00:00:00.000,-25.66667,28.36667,"[-25, 28]"
Leighlinbridge,12759,Valid,L6,,1999-01-01T00:00:00.000,52.66667,-6.96667,"[52, -6]"
Leighton,12760,Valid,H5,,1907-01-01T00:00:00.000,34.58333,-87.5,"[34, -87]"
Leonovka,12765,Valid,L6,,1900-01-01T00:00:00.000,52.26667,32.85,"[52, 32]"
Les Ormes,12769,Valid,L6,,1857-01-01T00:00:00.000,48.35,3.25,"[48, 3]"
Lesves,12772,Valid,L6,,1896-01-01T00:00:00.000,50.36667,4.73333,"[50, 4]"
Lichtenberg,14646,Valid,H6,,1973-01-01T00:00:00.000,-26.15,26.18333,"[-26, 26]"
Lillaverke,14650,Valid,H5,,1930-01-01T00:00:00.000,56.65,15.86667,"[56, 15]"
Limerick,14652,Valid,H5,,1813-01-01T00:00:00.000,52.56667,-8.78333,"[52, -8]"
Linum,14655,Valid,L6,,1854-01-01T00:00:00.000,52.75,12.9,"[52, 12]"
Lishui,14659,Valid,L5,,1978-01-01T00:00:00.000,31.63333,118.98333,"[31, 118]"
Lissa,14661,Valid,L6,,1808-01-01T00:00:00.000,50.2,14.85,"[50, 14]"
Little Piney,14664,Valid,L5,,1839-01-01T00:00:00.000,37.91667,-92.08333,"[37, -92]"
Lixna,14670,Valid,H4,,1820-01-01T00:00:00.000,56.0,26.43333,"[56, 26]"
Lodran,14675,Valid,Lodranite,,1868-01-01T00:00:00.000,29.53333,71.8,"[29, 71]"
Lohawat,14678,Valid,Howardite,,1994-01-01T00:00:00.000,26.96556,72.62667,"[26, 72]"
Lorton,52843,Valid,L6,,2010-01-01T00:00:00.000,38.70066,-77.21163,"[38, -77]"
Los Martinez,14708,Valid,L6,,1894-01-01T00:00:00.000,38.0,-0.83333,"[38, 0]"
Lost City,14711,Valid,H5,,1970-01-01T00:00:00.000,36.00833,-95.15,"[36, -95]"
Louisville,14716,Valid,L6,,1977-01-01T00:00:00.000,38.25,-85.75,"[38, -85]"
Łowicz,14718,Valid,Mesosiderite-A3,,1935-01-01T00:00:00.000,52.0,19.91667,"[52, 19]"
Lua,14721,Valid,L5,,1926-01-01T00:00:00.000,24.95,75.15,"[24, 75]"
Lucé,14724,Valid,L6,,1768-01-01T00:00:00.000,47.85,0.48333,"[47, 0]"
Lumpkin,14753,Valid,L6,,1869-01-01T00:00:00.000,32.03333,-84.76667,"[32, -84]"
Lunan,14754,Valid,H6,,1980-01-01T00:00:00.000,24.8,103.3,"[24, 103]"
Lundsgård,14755,Valid,L6,,1889-01-01T00:00:00.000,56.21667,13.03333,"[56, 13]"
Luotolax,14756,Valid,Howardite,,1813-01-01T00:00:00.000,61.2,27.7,"[61, 27]"
Luponnas,14757,Valid,H3-5,,1753-01-01T00:00:00.000,46.21667,5.0,"[46, 5]"
Lusaka,14759,Valid,Unknown,,1951-01-01T00:00:00.000,-7.21667,29.43333,"[-7, 29]"
Mabwe-Khoywa,14764,Valid,L5,,1937-01-01T00:00:00.000,19.0,97.0,"[19, 97]"
Macau,15370,Valid,H5,,1836-01-01T00:00:00.000,-5.2,-36.66667,"[-5, -36]"
Machinga,15371,Valid,L6,,1981-01-01T00:00:00.000,-15.21222,35.24222,"[-15, 35]"
Macibini,15372,Valid,Eucrite-pmict,,1936-01-01T00:00:00.000,-28.83333,31.95,"[-28, 31]"
Madhipura,15379,Valid,L,,1950-01-01T00:00:00.000,25.91667,86.36667,"[25, 86]"
Madiun,15380,Valid,L6,,1935-01-01T00:00:00.000,-7.75,111.53333,"[-7, 111]"
Madrid,15382,Valid,L6,,1896-01-01T00:00:00.000,40.41667,-3.71667,"[40, -3]"
Mafra,15383,Valid,L3-4,,1941-01-01T00:00:00.000,-26.16667,-49.93333,"[-26, -49]"
Magnesia,15386,Valid,"Iron, IAB-sHL",,1899-01-01T00:00:00.000,37.86667,27.51667,"[37, 27]"
Magombedze,15387,Valid,H3-5,,1990-01-01T00:00:00.000,-19.48333,31.65,"[-19, 31]"
Mahadevpur,47361,Valid,H4/5,,2007-01-01T00:00:00.000,27.66667,95.78333,"[27, 95]"
Maigatari-Danduma,30751,Valid,H5/6,,2004-01-01T00:00:00.000,12.83333,9.38333,"[12, 9]"
Malaga,15393,Valid,OC,,1933-01-01T00:00:00.000,32.21667,-104.0,"[32, -104]"
Malakal,15394,Valid,L5,,1970-01-01T00:00:00.000,9.5,31.75,"[9, 31]"
Malampaka,15395,Valid,H,,1930-01-01T00:00:00.000,-3.13333,33.51667,"[-3, 33]"
Malotas,15397,Valid,H5,,1931-01-01T00:00:00.000,-28.93333,-63.23333,"[-28, -63]"
Malvern,15400,Valid,Eucrite-pmict,,1933-01-01T00:00:00.000,-29.45,26.76667,"[-29, 26]"
Mamra Springs,15401,Valid,L6,,1927-01-01T00:00:00.000,45.21667,62.08333,"[45, 62]"
Manbhoom,15402,Valid,LL6,,1863-01-01T00:00:00.000,23.05,86.7,"[23, 86]"
Manegaon,15403,Valid,Diogenite,,1843-01-01T00:00:00.000,20.96667,76.1,"[20, 76]"
Mangwendi,15405,Valid,LL6,,1934-01-01T00:00:00.000,-17.65,31.6,"[-17, 31]"
Manych,15409,Valid,LL3.4,,1951-01-01T00:00:00.000,45.81667,44.63333,"[45, 44]"
Mardan,15414,Valid,H5,,1948-01-01T00:00:00.000,34.23333,72.08333,"[34, 72]"
Maria Linden,15418,Valid,L4,,1925-01-01T00:00:00.000,,,"[None, None]"
Mariaville,15419,Valid,Iron,,1898-01-01T00:00:00.000,42.71667,-99.38333,"[42, -99]"
Maribo,48973,Valid,CM2,,2009-01-01T00:00:00.000,54.76183,11.46745,"[54, 11]"
Maridi,15421,Valid,H6,,1941-01-01T00:00:00.000,4.66667,29.25,"[4, 29]"
Marilia,15422,Valid,H4,,1971-01-01T00:00:00.000,-22.25,-49.93333,"[-22, -49]"
Marion (Iowa),15424,Valid,L6,,1847-01-01T00:00:00.000,41.9,-91.6,"[41, -91]"
Marjalahti,15426,Valid,"Pallasite, PMG",,1902-01-01T00:00:00.000,61.5,30.5,"[61, 30]"
Marmande,15429,Valid,L5,,1848-01-01T00:00:00.000,44.5,0.15,"[44, 0]"
Maromandia,15430,Valid,L6,,2002-01-01T00:00:00.000,-14.2,48.1,"[-14, 48]"
Maryville,15436,Valid,L6,,1983-01-01T00:00:00.000,35.8,-84.1,"[35, -84]"
Mascombes,15438,Valid,L6,,1836-01-01T00:00:00.000,45.36667,1.86667,"[45, 1]"
Mason Gully,53653,Valid,H5,,2010-01-01T00:00:00.000,0.0,0.0,"[None, None]"
Mässing,15443,Valid,Howardite,,1803-01-01T00:00:00.000,48.13333,12.61667,"[48, 12]"
Mauerkirchen,15446,Valid,L6,,1768-01-01T00:00:00.000,48.18333,13.13333,"[48, 13]"
Mauritius,15447,Valid,L6,,1801-01-01T00:00:00.000,-20.0,57.0,"[-20, 57]"
Mayo Belwa,15451,Valid,Aubrite,,1974-01-01T00:00:00.000,8.96667,12.08333,"[8, 12]"
Mazapil,15453,Valid,"Iron, IAB-sLL",,1885-01-01T00:00:00.000,24.68333,-101.68333,"[24, -101]"
Maziba,15454,Valid,L6,,1942-01-01T00:00:00.000,-1.21667,30.0,"[-1, 30]"
Mbale,15455,Valid,L5/6,,1992-01-01T00:00:00.000,1.06667,34.16667,"[1, 34]"
Medanitos,15467,Valid,Eucrite-cm,,1953-01-01T00:00:00.000,-27.25,-67.5,"[-27, -67]"
Meerut,15469,Valid,H5,,1861-01-01T00:00:00.000,29.01667,77.8,"[29, 77]"
Meester-Cornelis,15470,Valid,H5,,1915-01-01T00:00:00.000,-6.23333,106.88333,"[-6, 106]"
Menow,15485,Valid,H4,,1862-01-01T00:00:00.000,53.18333,13.15,"[53, 13]"
Menziswyl,15486,Valid,L5,,1903-01-01T00:00:00.000,46.81867,7.21817,"[46, 7]"
Mern,15489,Valid,L6,,1878-01-01T00:00:00.000,55.05,12.06667,"[55, 12]"
Meru,15491,Valid,LL6,,1945-01-01T00:00:00.000,0.0,37.66667,"[None, 37]"
Merua,15492,Valid,H5,,1920-01-01T00:00:00.000,25.48333,81.98333,"[25, 81]"
Messina,15495,Valid,L5,,1955-01-01T00:00:00.000,38.18333,15.56667,"[38, 15]"
Meuselbach,16626,Valid,L6,,1897-01-01T00:00:00.000,50.58333,11.1,"[50, 11]"
Mezel,16627,Valid,L6,,1949-01-01T00:00:00.000,45.76667,3.25,"[45, 3]"
Mezö-Madaras,16628,Valid,L3.7,,1852-01-01T00:00:00.000,46.5,25.73333,"[46, 25]"
Mhow,16629,Valid,L6,,1827-01-01T00:00:00.000,25.9,83.61667,"[25, 83]"
Mianchi,16631,Valid,H5,,1980-01-01T00:00:00.000,34.8,111.7,"[34, 111]"
Middlesbrough,16632,Valid,L6,,1881-01-01T00:00:00.000,54.56667,-1.16667,"[54, -1]"
Mifflin,52090,Valid,L5,,2010-01-01T00:00:00.000,42.9075,-90.36556,"[42, -90]"
Mighei,16634,Valid,CM2,,1889-01-01T00:00:00.000,48.06667,30.96667,"[48, 30]"
Mihonoseki,16635,Valid,L6,,1992-01-01T00:00:00.000,35.56833,133.22,"[35, 133]"
Mike,16636,Valid,L6,,1944-01-01T00:00:00.000,46.23333,17.53333,"[46, 17]"
Milena,16640,Valid,L6,,1842-01-01T00:00:00.000,46.18333,16.1,"[46, 16]"
Millbillillie,16643,Valid,Eucrite-mmict,,1960-01-01T00:00:00.000,-26.45,120.36667,"[-26, 120]"
Miller (Arkansas),16645,Valid,H5,,1930-01-01T00:00:00.000,35.4,-92.05,"[35, -92]"
Minamino,16692,Valid,L,,1632-01-01T00:00:00.000,35.07833,136.93333,"[35, 136]"
Mineo,16696,Valid,Pallasite,,1826-01-01T00:00:00.000,37.28333,14.7,"[37, 14]"
Min-Fan-Zhun,16697,Valid,LL6,,1952-01-01T00:00:00.000,32.33333,120.66667,"[32, 120]"
Minnichhof,16700,Valid,OC,,1905-01-01T00:00:00.000,47.7,16.6,"[47, 16]"
Mirzapur,16701,Valid,L5,,1910-01-01T00:00:00.000,25.68333,83.25,"[25, 83]"
Misshof,16703,Valid,H5,,1890-01-01T00:00:00.000,56.66667,23.0,"[56, 23]"
Mjelleim,16707,Valid,H,,1898-01-01T00:00:00.000,61.73333,5.93333,"[61, 5]"
Mocs,16709,Valid,L5-6,,1882-01-01T00:00:00.000,46.8,24.03333,"[46, 24]"
Modoc (1905),16711,Valid,L6,,1905-01-01T00:00:00.000,38.5,-101.1,"[38, -101]"
Mokoia,16713,Valid,CV3,,1908-01-01T00:00:00.000,-39.63333,174.4,"[-39, 174]"
Molina,16715,Valid,H5,,1858-01-01T00:00:00.000,38.11667,-1.16667,"[38, -1]"
Molteno,16717,Valid,Howardite,,1953-01-01T00:00:00.000,-31.25,26.46667,"[-31, 26]"
Monahans (1998),16719,Valid,H5,,1998-01-01T00:00:00.000,31.60833,-102.85833,"[31, -102]"
Monroe,16720,Valid,H4,,1849-01-01T00:00:00.000,35.25,-80.5,"[35, -80]"
Monte das Fortes,16725,Valid,L5,,1950-01-01T00:00:00.000,38.01667,-8.25,"[38, -8]"
Monte Milone,16726,Valid,L5,,1846-01-01T00:00:00.000,43.26667,13.35,"[43, 13]"
Montferré,16727,Valid,H5,,1923-01-01T00:00:00.000,43.39056,1.9625,"[43, 1]"
Montlivault,16729,Valid,L6,,1838-01-01T00:00:00.000,47.63333,1.58333,"[47, 1]"
Monze,16733,Valid,L6,,1950-01-01T00:00:00.000,-15.96667,27.35,"[-15, 27]"
Moore County,16736,Valid,Eucrite-cm,,1913-01-01T00:00:00.000,35.41667,-79.38333,"[35, -79]"
Mooresfort,16737,Valid,H5,,1810-01-01T00:00:00.000,52.45,-8.33333,"[52, -8]"
Moorleah,16738,Valid,L6,,1930-01-01T00:00:00.000,-40.975,145.6,"[-40, 145]"
Moradabad,16740,Valid,L6,,1808-01-01T00:00:00.000,28.78333,78.83333,"[28, 78]"
Morávka,16742,Valid,H5,,2000-01-01T00:00:00.000,49.6,18.53333,"[49, 18]"
Mornans,16747,Valid,H5,,1875-01-01T00:00:00.000,44.6,5.13333,"[44, 5]"
Moss,36592,Valid,CO3.6,,2006-01-01T00:00:00.000,59.43333,10.7,"[59, 10]"
Moti-ka-nagla,16759,Valid,H6,,1868-01-01T00:00:00.000,26.83333,77.33333,"[26, 77]"
Motta di Conti,16762,Valid,H4,,1868-01-01T00:00:00.000,45.2,8.5,"[45, 8]"
Mount Browne,16766,Valid,H6,,1902-01-01T00:00:00.000,-29.8,141.7,"[-29, 141]"
Mount Tazerzait,16804,Valid,L5,,1991-01-01T00:00:00.000,18.7,4.8,"[18, 4]"
Mount Vaisi,16805,Valid,Stone-uncl,,1637-01-01T00:00:00.000,44.08333,6.86667,"[44, 6]"
Mtola,16820,Valid,Stone-uncl,,1944-01-01T00:00:00.000,-11.5,33.5,"[-11, 33]"
Muddoor,16841,Valid,L5,,1865-01-01T00:00:00.000,12.63333,77.01667,"[12, 77]"
Mulletiwu,16851,Valid,L,,1795-01-01T00:00:00.000,9.33333,80.83333,"[9, 80]"
Muraid,16874,Valid,L6,,1924-01-01T00:00:00.000,24.5,90.21667,"[24, 90]"
Murchison,16875,Valid,CM2,,1969-01-01T00:00:00.000,-36.61667,145.2,"[-36, 145]"
Murray,16882,Valid,CM2,,1950-01-01T00:00:00.000,36.6,-88.1,"[36, -88]"
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",,1964-01-01T00:00:00.000,26.13333,85.53333,"[26, 85]"
Myhee Caunta,16887,Valid,OC,,1842-01-01T00:00:00.000,23.05,72.63333,"[23, 72]"
Nadiabondi,16889,Valid,H5,,1956-01-01T00:00:00.000,12.0,1.0,"[12, 1]"
Nagai,16890,Valid,L6,,1922-01-01T00:00:00.000,38.12167,140.06167,"[38, 140]"
Nagaria,16892,Valid,Eucrite-cm,,1875-01-01T00:00:00.000,26.98333,78.21667,"[26, 78]"
Nagy-Borové,16893,Valid,L5,,1895-01-01T00:00:00.000,49.16667,19.5,"[49, 19]"
Nakhla,16898,Valid,Martian (nakhlite),,1911-01-01T00:00:00.000,31.31667,30.35,"[31, 30]"
Nakhon Pathom,16899,Valid,L6,,1923-01-01T00:00:00.000,13.73333,100.08333,"[13, 100]"
Nammianthal,16902,Valid,H5,,1886-01-01T00:00:00.000,12.28333,79.2,"[12, 79]"
Nan Yang Pao,16903,Valid,L6,,1917-01-01T00:00:00.000,35.66667,103.5,"[35, 103]"
Nanjemoy,16904,Valid,H6,,1825-01-01T00:00:00.000,38.41667,-77.16667,"[38, -77]"
Nantong,16907,Valid,H6,,1984-01-01T00:00:00.000,32.11667,121.8,"[32, 121]"
Naoki,16908,Valid,H6,,1928-01-01T00:00:00.000,19.25,77.0,"[19, 77]"
Naragh,16909,Valid,H6,,1974-01-01T00:00:00.000,33.75,51.5,"[33, 51]"
Narellan,16912,Valid,L6,,1928-01-01T00:00:00.000,-34.05,150.68889,"[-34, 150]"
Narni,16914,Valid,Stone-uncl,,0921-01-01T00:00:00.000,42.51667,12.51667,"[42, 12]"
Nassirah,16922,Valid,H4,,1936-01-01T00:00:00.000,-21.73333,165.9,"[-21, 165]"
Natal,16923,Valid,Stone-uncl,,1973-01-01T00:00:00.000,,,"[None, None]"
Nawapali,16927,Valid,CM2,,1890-01-01T00:00:00.000,21.25,83.66667,"[21, 83]"
Neagari,16934,Valid,L6,,1995-01-01T00:00:00.000,36.44917,136.46528,"[36, 136]"
Nedagolla,16935,Valid,"Iron, ungrouped",,1870-01-01T00:00:00.000,18.68333,83.48333,"[18, 83]"
Nejo,16941,Valid,L6,,1970-01-01T00:00:00.000,9.5,35.33333,"[9, 35]"
Nerft,16945,Valid,L6,,1864-01-01T00:00:00.000,56.5,21.5,"[56, 21]"
Neuschwanstein,16950,Valid,EL6,,2002-01-01T00:00:00.000,47.525,10.80833,"[47, 10]"
New Concord,16953,Valid,L6,,1860-01-01T00:00:00.000,40.0,-81.76667,"[40, -81]"
New Halfa,16954,Valid,L4,,1994-01-01T00:00:00.000,15.36667,35.68333,"[15, 35]"
New Orleans,16960,Valid,H5,,2003-01-01T00:00:00.000,29.94718,-90.10976,"[29, -90]"
Ngawi,16966,Valid,LL3.6,,1883-01-01T00:00:00.000,-7.45,111.41667,"[-7, 111]"
N'Goureyma,16968,Valid,"Iron, ungrouped",,1900-01-01T00:00:00.000,13.85,-4.38333,"[13, -4]"
Nicorps,16970,Valid,Stone-uncl,,1750-01-01T00:00:00.000,49.03333,-1.43333,"[49, -1]"
Niger (L6),16974,Valid,L6,,1967-01-01T00:00:00.000,,,"[None, None]"
Niger (LL6),16975,Valid,LL6,,1967-01-01T00:00:00.000,,,"[None, None]"
Nikolaevka,16976,Valid,H4,,1935-01-01T00:00:00.000,52.45,78.63333,"[52, 78]"
Nikolskoe,16977,Valid,L4,,1954-01-01T00:00:00.000,56.11667,37.33333,"[56, 37]"
Ningbo,16980,Valid,"Iron, IVA",,1975-01-01T00:00:00.000,29.86667,121.48333,"[29, 121]"
Ningqiang,16981,Valid,C3-ung,,1983-01-01T00:00:00.000,32.925,105.90667,"[32, 105]"
Nio,16982,Valid,H3-4,,1897-01-01T00:00:00.000,34.2,131.56667,"[34, 131]"
N'Kandhla,16983,Valid,"Iron, IID",,1912-01-01T00:00:00.000,-28.56667,30.7,"[-28, 30]"
Nobleborough,16984,Valid,Eucrite-pmict,,1823-01-01T00:00:00.000,44.08333,-69.48333,"[44, -69]"
Noblesville,16985,Valid,H4-6,,1991-01-01T00:00:00.000,40.08528,-86.055,"[40, -86]"
Nogata,16988,Valid,L6,,0861-01-01T00:00:00.000,33.725,130.75,"[33, 130]"
Nogoya,16989,Valid,CM2,,1879-01-01T00:00:00.000,-32.36667,-59.83333,"[-32, -59]"
Norfork,16994,Valid,"Iron, IIIAB",,1918-01-01T00:00:00.000,36.21667,-92.26667,"[36, -92]"
Norton County,17922,Valid,Aubrite,,1948-01-01T00:00:00.000,39.68333,-99.86667,"[39, -99]"
Noventa Vicentina,17930,Valid,H4,,1971-01-01T00:00:00.000,45.29167,11.52722,"[45, 11]"
Novo-Urei,17933,Valid,Ureilite,,1886-01-01T00:00:00.000,54.81667,46.0,"[54, 46]"
Novy-Ergi,17934,Valid,Stone-uncl,,1662-01-01T00:00:00.000,58.55,31.33333,"[58, 31]"
Novy-Projekt,17935,Valid,OC,,1908-01-01T00:00:00.000,56.0,22.0,"[56, 22]"
Noyan-Bogdo,17936,Valid,L6,,1933-01-01T00:00:00.000,42.91667,102.46667,"[42, 102]"
Nuevo Mercurio,17938,Valid,H5,,1978-01-01T00:00:00.000,24.3,-102.13333,"[24, -102]"
Nulles,17959,Valid,H6,,1851-01-01T00:00:00.000,41.63333,0.75,"[41, 0]"
Numakai,17960,Valid,H4,,1925-01-01T00:00:00.000,43.33333,141.86667,"[43, 141]"
Nyaung,17969,Valid,"Iron, IIIAB",,1939-01-01T00:00:00.000,21.20833,94.91667,"[21, 94]"
Nyirábrany,17970,Valid,LL5,,1914-01-01T00:00:00.000,47.55,22.025,"[47, 22]"
Ochansk,17979,Valid,H4,,1887-01-01T00:00:00.000,57.78333,55.26667,"[57, 55]"
Oesede,17988,Valid,H5,,1927-01-01T00:00:00.000,52.28333,8.05,"[52, 8]"
Oesel,17989,Valid,L6,,1855-01-01T00:00:00.000,58.5,23.0,"[58, 23]"
Ofehértó,17990,Valid,L6,,1900-01-01T00:00:00.000,47.88333,22.03333,"[47, 22]"
Ogi,17994,Valid,H6,,1741-01-01T00:00:00.000,33.28333,130.2,"[33, 130]"
Ohaba,17995,Valid,H5,,1857-01-01T00:00:00.000,46.06667,23.58333,"[46, 23]"
Ohuma,17996,Valid,L5,,1963-01-01T00:00:00.000,6.75,8.5,"[6, 8]"
Ojuelos Altos,17997,Valid,L6,,1926-01-01T00:00:00.000,38.18333,-5.4,"[38, -5]"
Okabe,17998,Valid,H5,,1958-01-01T00:00:00.000,36.18333,139.21667,"[36, 139]"
Okano,18000,Valid,"Iron, IIAB",,1904-01-01T00:00:00.000,35.08333,135.2,"[35, 135]"
Okniny,18002,Valid,LL6,,1834-01-01T00:00:00.000,50.83333,25.5,"[50, 25]"
Oldenburg (1930),18009,Valid,L6,,1930-01-01T00:00:00.000,52.95,8.16667,"[52, 8]"
Oliva-Gandia,18012,Valid,Stone-uncl,,1520-01-01T00:00:00.000,39.0,-0.03333,"[39, 0]"
Olivenza,18013,Valid,LL5,,1924-01-01T00:00:00.000,38.71667,-7.06667,"[38, -7]"
Olmedilla de Alarcón,18015,Valid,H5,,1929-01-01T00:00:00.000,39.56667,-2.1,"[39, -2]"
Omolon,18019,Valid,"Pallasite, PMG",,1981-01-01T00:00:00.000,64.02,161.80833,"[64, 161]"
Orgueil,18026,Valid,CI1,,1864-01-01T00:00:00.000,43.88333,1.38333,"[43, 1]"
Orlando,34489,Valid,Eucrite,,2004-01-01T00:00:00.000,28.5475,-81.36222,"[28, -81]"
Ornans,18030,Valid,CO3.4,,1868-01-01T00:00:00.000,47.11667,6.15,"[47, 6]"
Ortenau,18033,Valid,Stone-uncl,,1671-01-01T00:00:00.000,48.5,8.0,"[48, 8]"
Orvinio,18034,Valid,H6,,1872-01-01T00:00:00.000,42.13333,12.93333,"[42, 12]"
Oterøy,18042,Valid,L6,,1928-01-01T00:00:00.000,58.88333,9.4,"[58, 9]"
Otomi,18045,Valid,H,,1867-01-01T00:00:00.000,38.4,140.35,"[38, 140]"
Ottawa,18046,Valid,LL6,,1896-01-01T00:00:00.000,38.6,-95.21667,"[38, -95]"
Ouadangou,56729,Valid,L5,,2003-01-01T00:00:00.000,12.9,0.08,"[12, 0]"
Oued el Hadjar,18050,Valid,LL6,,1986-01-01T00:00:00.000,30.18,-6.57717,"[30, -6]"
Oum Dreyga,31282,Valid,H3-5,,2003-01-01T00:00:00.000,24.3,-13.1,"[24, -13]"
Ourique,18052,Valid,H4,,1998-01-01T00:00:00.000,37.60833,-8.28,"[37, -8]"
Ovambo,18055,Valid,L6,,1900-01-01T00:00:00.000,-18.0,16.0,"[-18, 16]"
Oviedo,18058,Valid,H5,,1856-01-01T00:00:00.000,43.4,-5.86667,"[43, -5]"
Owrucz,18062,Valid,OC,,1775-01-01T00:00:00.000,51.33333,28.83333,"[51, 28]"
Pacula,18068,Valid,L6,,1881-01-01T00:00:00.000,21.05,-99.3,"[21, -99]"
Padvarninkai,18069,Valid,Eucrite-mmict,,1929-01-01T00:00:00.000,55.66667,25.0,"[55, 25]"
Paitan,18072,Valid,H6,,1910-01-01T00:00:00.000,17.74333,120.45583,"[17, 120]"
Palahatchie,18073,Valid,OC,,1910-01-01T00:00:00.000,32.31667,-89.71667,"[32, -89]"
Palca de Aparzo,18074,Valid,L5,,1988-01-01T00:00:00.000,-23.11667,-65.1,"[-23, -65]"
Palinshih,18077,Valid,Iron,,1914-01-01T00:00:00.000,43.48333,118.61667,"[43, 118]"
Palmyra,18079,Valid,L3,,1926-01-01T00:00:00.000,39.8,-91.5,"[39, -91]"
Palolo Valley,18082,Valid,H5,,1949-01-01T00:00:00.000,21.3,-157.78333,"[21, -157]"
Dominion Range 03239,32591,Valid,L6,,2002-01-01T00:00:00.000,,,"[None, None]"
Pampanga,18093,Valid,L5,,1859-01-01T00:00:00.000,15.08333,120.7,"[15, 120]"
Pantar,18098,Valid,H5,,1938-01-01T00:00:00.000,8.06667,124.28333,"[8, 124]"
Paragould,18101,Valid,LL5,,1930-01-01T00:00:00.000,36.06667,-90.5,"[36, -90]"
Parambu,18102,Valid,LL5,,1967-01-01T00:00:00.000,-6.23333,-40.7,"[-6, -40]"
Paranaiba,18103,Valid,L6,,1956-01-01T00:00:00.000,-19.13333,-51.66667,"[-19, -51]"
Park Forest,18106,Valid,L5,,2003-01-01T00:00:00.000,41.48472,-87.67917,"[41, -87]"
Parnallee,18108,Valid,LL3.6,,1857-01-01T00:00:00.000,9.23333,78.35,"[9, 78]"
Parsa,18109,Valid,EH3,,1942-01-01T00:00:00.000,26.2,85.4,"[26, 85]"
Pasamonte,18110,Valid,Eucrite-pmict,,1933-01-01T00:00:00.000,36.21667,-103.4,"[36, -103]"
Patora,18112,Valid,H6,,1969-01-01T00:00:00.000,20.93694,82.05,"[20, 82]"
Patrimonio,18116,Valid,L6,,1950-01-01T00:00:00.000,-19.53333,-48.56667,"[-19, -48]"
