Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Frankfort (stone),10177,Valid,Howardite,,1868-01-01T00:00:00.000,34.48333,-87.83333,"[34, -87]"
Fuhe,52412,Valid,L5,,1945-01-01T00:00:00.000,31.47556,113.56694,"[31, 113]"
Fukutomi,10836,Valid,L5,,1882-01-01T00:00:00.000,33.18333,130.2,"[33, 130]"
Fünen,10838,Valid,Stone-uncl,,1654-01-01T00:00:00.000,55.33333,10.33333,"[55, 10]"
Futtehpur,10839,Valid,L6,,1822-01-01T00:00:00.000,25.95,80.81667,"[25, 80]"
Fuyang,10840,Valid,Stone-uncl,,1977-01-01T00:00:00.000,32.9,115.9,"[32, 115]"
Galapian,10846,Valid,H6,,1826-01-01T00:00:00.000,44.3,0.4,"[44, 0]"
Galim (a),10848,Valid,LL6,,1952-01-01T00:00:00.000,7.05,12.43333,"[7, 12]"
Galim (b),10849,Valid,EH3/4-an,,1952-01-01T00:00:00.000,7.05,12.43333,"[7, 12]"
Galkiv,10850,Valid,H4,,1995-01-01T00:00:00.000,51.68333,30.78333,"[51, 30]"
Gambat,10851,Valid,L6,,1897-01-01T00:00:00.000,27.35,68.53333,"[27, 68]"
Gao-Guenie,10854,Valid,H5,,1960-01-01T00:00:00.000,11.65,-2.18333,"[11, -2]"
Garhi Yasin,10860,Valid,"Iron, IIE",,1917-01-01T00:00:00.000,27.88333,68.53333,"[27, 68]"
Garland,10861,Valid,Diogenite-pm,,1950-01-01T00:00:00.000,41.68333,-112.13333,"[41, -112]"
Gashua,44882,Valid,L6,,1984-01-01T00:00:00.000,12.85,11.03333,"[12, 11]"
Gasseltepaoua,10866,Valid,H5,,2000-01-01T00:00:00.000,14.15083,-2.04167,"[14, -2]"
Geidam,10870,Valid,H5,,1950-01-01T00:00:00.000,12.91667,11.91667,"[12, 11]"
Gifu,10914,Valid,L6,,1909-01-01T00:00:00.000,35.53333,136.88333,"[35, 136]"
Girgenti,10917,Valid,L6,,1853-01-01T00:00:00.000,37.31667,13.56667,"[37, 13]"
Git-Git,10919,Valid,L6,,1947-01-01T00:00:00.000,9.6,9.91667,"[9, 9]"
Glanerbrug,10923,Valid,L/LL5,,1990-01-01T00:00:00.000,52.2,6.86667,"[52, 6]"
Glanggang,10924,Valid,H5-6,,1939-01-01T00:00:00.000,-7.25,107.7,"[-7, 107]"
Glasatovo,10926,Valid,H4,,1918-01-01T00:00:00.000,57.35,37.61667,"[57, 37]"
Glatton,10930,Valid,L6,,1991-01-01T00:00:00.000,52.45972,-0.3,"[52, 0]"
Gnadenfrei,10936,Valid,H5,,1879-01-01T00:00:00.000,50.66667,16.76667,"[50, 16]"
Gopalpur,10948,Valid,H6,,1865-01-01T00:00:00.000,24.23333,89.05,"[24, 89]"
Gorlovka,10949,Valid,H3.7,,1974-01-01T00:00:00.000,48.28333,38.08333,"[48, 38]"
Granes,10956,Valid,L6,,1964-01-01T00:00:00.000,42.9,2.25,"[42, 2]"
Grefsheim,11196,Valid,L5,,1976-01-01T00:00:00.000,60.66667,11.0,"[60, 11]"
Grimsby,50911,Valid,H5,,2009-01-01T00:00:00.000,43.2,-79.61667,"[43, -79]"
Grosnaja,11206,Valid,CV3,,1861-01-01T00:00:00.000,43.66667,45.38333,"[43, 45]"
Gross-Divina,11207,Valid,H5,,1837-01-01T00:00:00.000,49.26667,18.71667,"[49, 18]"
Grossliebenthal,11208,Valid,L6,,1881-01-01T00:00:00.000,46.35,30.58333,"[46, 30]"
Grüneberg,11426,Valid,H4,,1841-01-01T00:00:00.000,51.93333,15.5,"[51, 15]"
Grzempach,11429,Valid,H5,,1910-01-01T00:00:00.000,52.86667,16.63333,"[52, 16]"
Gualeguaychú,11432,Valid,H6,,1932-01-01T00:00:00.000,-33.0,-58.61667,"[-33, -58]"
Guangmingshan,11435,Valid,H5,,1996-01-01T00:00:00.000,39.80417,122.76389,"[39, 122]"
Guangnan,11436,Valid,L6,,1983-01-01T00:00:00.000,24.1,105.0,"[24, 105]"
Guangrao,11437,Valid,L6,,1980-01-01T00:00:00.000,37.1,118.4,"[37, 118]"
Guareña,11439,Valid,H6,,1892-01-01T00:00:00.000,38.73333,-6.01667,"[38, -6]"
Guêa,11440,Valid,Stone-uncl,,1891-01-01T00:00:00.000,43.76667,20.23333,"[43, 20]"
Guibga,11442,Valid,L5,,1972-01-01T00:00:00.000,13.5,-0.68333,"[13, 0]"
Guidder,11443,Valid,LL5,,1949-01-01T00:00:00.000,9.91667,13.98333,"[9, 13]"
Gujargaon,11448,Valid,H5,,1982-01-01T00:00:00.000,22.98333,76.05,"[22, 76]"
Gujba,11449,Valid,CBa,,1984-01-01T00:00:00.000,11.49167,11.65833,"[11, 11]"
Gumoschnik,11450,Valid,H5,,1904-01-01T00:00:00.000,42.9,24.7,"[42, 24]"
Gurram Konda,11464,Valid,L6,,1814-01-01T00:00:00.000,13.78333,78.56667,"[13, 78]"
Gursum,11465,Valid,H4/5,,1981-01-01T00:00:00.000,9.36667,42.41667,"[9, 42]"
Gütersloh,11466,Valid,H3/4,,1851-01-01T00:00:00.000,51.91667,8.38333,"[51, 8]"
Gyokukei,11467,Valid,OC,,1930-01-01T00:00:00.000,35.0,127.5,"[35, 127]"
Hachi-oji,11468,Valid,H?,,1817-01-01T00:00:00.000,35.65,139.33333,"[35, 139]"
Hainaut,11472,Valid,H3-6,,1934-01-01T00:00:00.000,50.31667,3.73333,"[50, 3]"
